maxD_in,tOff_in,sdD_in,constant_in
10,10000,30.25,0.008333333333333333
10,10000,30.25,0.008888888888888889
10,10000,30.25,0.009444444444444445
10,10000,30.25,0.01
10,10000,40.0,0.005
10,10000,40.0,0.005555555555555556
10,10000,40.0,0.006111111111111111
10,10000,40.0,0.006666666666666666
10,10000,40.0,0.007222222222222222
10,10000,40.0,0.0077777777777777776
10,10000,40.0,0.008333333333333333
10,10000,40.0,0.008888888888888889
10,10000,40.0,0.009444444444444445
10,10000,40.0,0.01
21,1000,1.0,0.005
21,1000,1.0,0.005555555555555556
21,1000,1.0,0.006111111111111111
21,1000,1.0,0.006666666666666666
21,1000,1.0,0.007222222222222222
21,1000,1.0,0.0077777777777777776
21,1000,1.0,0.008333333333333333
21,1000,1.0,0.008888888888888889
21,1000,1.0,0.009444444444444445
21,1000,1.0,0.01
21,1000,10.75,0.005
21,1000,10.75,0.005555555555555556
21,1000,10.75,0.006111111111111111
21,1000,10.75,0.006666666666666666
21,1000,10.75,0.007222222222222222
21,1000,10.75,0.0077777777777777776
21,1000,10.75,0.008333333333333333
21,1000,10.75,0.008888888888888889
21,1000,10.75,0.009444444444444445
21,1000,10.75,0.01
21,1000,20.5,0.005
21,1000,20.5,0.005555555555555556
21,1000,20.5,0.006111111111111111
21,1000,20.5,0.006666666666666666
21,1000,20.5,0.007222222222222222
21,1000,20.5,0.0077777777777777776
21,1000,20.5,0.008333333333333333
21,1000,20.5,0.008888888888888889
21,1000,20.5,0.009444444444444445
21,1000,20.5,0.01
21,1000,30.25,0.005
21,1000,30.25,0.005555555555555556
21,1000,30.25,0.006111111111111111
21,1000,30.25,0.006666666666666666
21,1000,30.25,0.007222222222222222
21,1000,30.25,0.0077777777777777776
21,1000,30.25,0.008333333333333333
21,1000,30.25,0.008888888888888889
21,1000,30.25,0.009444444444444445
21,1000,30.25,0.01
21,1000,40.0,0.005
21,1000,40.0,0.005555555555555556
21,1000,40.0,0.006111111111111111
21,1000,40.0,0.006666666666666666
