Ti_age,Ti_ageplus,Ti_ageminus,Ti_content,Ti_content_SD
2370,360,350,9,1.1
1190,180,160,8.4,1.1
1790,440,380,5.4,0.6
1360,270,220,8.1,1.2
1990,220,200,7.4,0.9
2000,160,140,7.2,1
1870,190,170,6.8,0.9
1760,160,140,8.5,1
1360,180,160,7.6,0.9
2260,260,240,5.6,0.9
1460,72,68,8.2,1
1980,160,150,6.6,1.3
1400,150,140,7.4,1.1
2560,230,230,7,0.9
2610,260,250,7.3,1
2030,4,4,4.85,0.85
